date;amount;category;description;account;transactionkind
15.02.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.02.2022;108,81;Gesundheit;TK;Girokonto;Ausgabe
15.02.2022;24,79;Freizeit;BooKBeat;Girokonto;Ausgabe
25.02.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
03.02.2022;2,17;Freizeit;BooKBeat Upgrade;Girokonto;Ausgabe
08.02.2022;8,19;Technische Ausrüstung;Steam;Girokonto;Ausgabe
08.02.2022;4,45;Reisen;DB;Girokonto;Ausgabe
15.02.2022;18,89;Technische Ausrüstung;Steam;Girokonto;Ausgabe
09.02.2022;97,95;Technische Ausrüstung;Druckerpatronen;Barvermögen;Ausgabe
02.02.2022;15,00;Technische Ausrüstung;Handy-Guthaben;Barvermögen;Ausgabe
17.02.2022;15,00;Lebensmittel;Döner und Pizza;Barvermögen;Ausgabe
17.02.2022;61,25;Anpassung;Bargeldanpassung;Barvermögen;Ausgabe
28.02.2022;60,03;Tanken;Tanken für 1,79.9;Barvermögen;Ausgabe
17.02.2022;10,32;Lebensmittel;aldi;Barvermögen;Ausgabe
17.02.2022;42,91;Lebensmittel;aldi;Barvermögen;Ausgabe
12.02.2022;8,56;Gesundheit;Filder Apotheke;Barvermögen;Ausgabe
22.02.2022;305,00;Reisen;SSB;Girokonto;Ausgabe
23.02.2022;19,99;Technische Ausrüstung;Steam;Girokonto;Ausgabe
25.02.2022;5,10;Reisen;SSB;Girokonto;Ausgabe
28.02.2022;1488,00;Miete;Kaution;Girokonto;Ausgabe
03.03.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.03.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.03.2022;954,00;Miete;Miete an Dieter;Girokonto;Ausgabe
03.03.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
15.03.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.03.2022;108,81;Gesundheit;TK;Girokonto;Ausgabe
25.03.2022;24,79;Freizeit;BooKBeat;Girokonto;Ausgabe
25.03.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
01.03.2022;51,99;Bücher;Bücher für Masterarbeit;Girokonto;Ausgabe
04.03.2022;14,99;Technische Ausrüstung;Maus;Barvermögen;Ausgabe
03.02.2022;90,00;Geschenke;Ausleihe an Inga;Girokonto;Ausgabe
22.03.2022;8,90;Reisen;SSB;Girokonto;Ausgabe
18.03.2022;2,80;Reisen;RSV;Barvermögen;Ausgabe
24.03.2022;45,53;Anpassung;Bargeldanpassung;Barvermögen;Ausgabe
24.03.2022;110,02;Anpassung;Girokontoanpassung;Girokonto;Ausgabe
28.03.2022;100,00;Geschenke;Essen mit Schmidbergers;Girokonto;Ausgabe
26.03.2022;17,57;Freunde;McDonalds;Barvermögen;Ausgabe
03.04.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.04.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.04.2022;954,00;Miete;Miete an Dieter;Girokonto;Ausgabe
03.04.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
15.04.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.04.2022;111,44;Gesundheit;TK;Girokonto;Ausgabe
25.04.2022;24,79;Freizeit;BooKBeat;Girokonto;Ausgabe
25.04.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
08.04.2022;200,00;Auto;Daniel Autoreperatur;Girokonto;Ausgabe
19.04.2022;16,79;Technische Ausrüstung;Steam;Girokonto;Ausgabe
